nevertheless	それでもなお
casually	気軽に
terrace	テラス
cult	カルト
angrily	怒って
microbial	微生物の
iteration	繰り返し
torment	苦しみ
mansion	大邸宅
spectral	幽霊の
comedy	喜劇
mesh	網
plea	懇願
resurrection	復活
customary	慣習的な
custody	監護
obesity	肥満
bowel	腸
vis	見る（ラテン語由来）|視覚の（接頭辞）
descriptive	記述的な
workforce	労働力
scare	怖がらせる
utilization	利用
substantive	実質的な
detector	探知機
unstable	不安定な
isolate	孤立させる
premise	前提
daylight	日光
sheriff	保安官
efficiently	効率よく
agony	激痛
contemplate	熟考する
fearful	恐れている
vivo	生体内の
caste	カースト
float	浮く
relaxation	リラックス
disregard	無視する
specificity	特異性
parliament	議会
disc	ディスク
bury	埋める
notebook	ノート
renewable	再生可能な
communal	共同の
absurd	不合理な
offset	埋め合わせ
prototype	試作品
brake	ブレーキ
adequately	適切に
responsive	反応の良い
hastily	急いで
console	慰める
album	アルバム
ribbon	リボン
termination	終了
venue	会場
inappropriate	不適切な
nominal	名目上の
virgin	処女
viewpoint	視点
puff	吹き出し
morphology	形態学
ambiguity	曖昧さ
inn	宿
vivid	鮮やかな
rally	集会
mandatory	義務的な
creator	創造者
promptly	即座に
lesion	損傷
dictionary	辞書
susceptible	影響を受けやすい
indulge	ふける
tiger	トラ
bug	虫
stagger	よろめく
drawing	図面
layout	配置
resemblance	類似
imitate	模倣する
greet	挨拶する
contraction	収縮
pragmatic	実用的な
compartment	区画
mutually	相互に
patrol	巡回する
hierarchical	階層的な
entail	伴う
distinctly	はっきりと
compute	計算する
shortage	不足
geographic	地理的な
est	〜である〈ラテン語〉〈フランス語〉
peasant	農民
settling	定住
dietary	食事の
focal	焦点の
balloon	風船
coincidence	偶然の一致
refine	洗練する
modernity	現代性
inward	内側へ
cab	タクシー
predicate	述語
successive	連続的な
idle	怠惰な
countryside	田舎
dash	突進する
conspiracy	陰謀
charter	憲章
smirk	にやりと笑う
soap	石鹸
asylum	避難所
journalist	ジャーナリスト
chant	歌う
fountain	噴水
replicate	複製する
shoe	靴
riot	暴動
tread	踏む
indifferent	無関心な
randomly	無作為に
appropriately	適切に
unfair	不公平な
explosive	爆発性の
comprehension	理解
tug	引っぱる
im	〜でない（接頭辞）|〜できない（接頭辞）
editorial	社説
cerebral	知性的な
spike	急増
thoughtful	思いやりのある
pixel	画素
butterfly	蝶
negatively	否定的に
masculine	男性的な
contradict	矛盾する
documentary	ドキュメンタリー
embarrassment	恥ずかしさ
alpha	アルファ
heroic	英雄的な
sober	しらふの
plausible	もっともらしい
haired	毛のある
sow	まく
tan	日焼け
terrain	地形
parade	パレード
composer	作曲家
utmost	最大の
methodological	方法論の
exempt	免除された
mug	マグカップ
cheerful	陽気な
moonlight	月明かり
betray	裏切る
innocence	無罪
complementary	補完的な
manifestation	現れ
trash	ゴミ
superiority	優位
migrate	移住する
inclination	傾向
staircase	階段
wherein	その中で
interpersonal	対人関係の
symmetry	対称
wool	羊毛
dementia	認知症
fertility	生殖能力
trustee	受託者
eternity	永遠
grocery	食料品店
psychiatric	精神科の
investor	投資家
fantastic	素晴らしい
jealousy	嫉妬
irrigation	灌漑
destine	運命づける
freeze	凍る
fox	キツネ
helmet	ヘルメット
reading	読書
variant	変種
pharmaceutical	製薬の
maker	製造者
theirs	彼らのもの
depict	描く
tribal	部族の
sunset	夕焼け
orgasm	オーガズム
backwards	後ろ向きに
utterance	発言
cardiovascular	心血管の
incentive	動機
converge	収束する
mobilize	動員する
erosion	侵食
paradox	逆説
substitution	置き換え
foul	不快な
bargain	取引
humour	ユーモア
unite	団結する
vertex	頂点
supplier	供給者
prohibition	禁止
oppose	反対する
practitioner	開業医
precursor	先駆者
heel	かかと
lamb	子羊
notify	通知する
anonymous	匿名の
fragile	壊れやすい
delightful	楽しい
scripture	聖書
attach	付ける
linen	リネン
meter	メートル
allowance	手当
classify	分類する
alley	路地
manufacturer	製造業者
navy	海軍
invoke	呼び起こす
reflective	反射する
offering	供え物
eligible	資格のある
administer	管理する
economically	経済的に
sanction	制裁
biography	伝記
preacher	説教者
bully	いじめっ子
celebrity	有名人
literal	文字通りの
navigation	航海
intentional	意図的な
unfamiliar	不慣れな
rupture	破裂
lament	嘆く
aboard	乗って
massage	マッサージ
distal	遠位の
resentment	恨み
outdoor	屋外の
disciple	弟子
cautious	用心深い
juvenile	若い
lag	遅れる
beta	ベータ
fiercely	激しく
recruitment	採用
hypertension	高血圧
prohibit	禁止する
plainly	はっきりと
adolescent	思春期の
accelerate	加速する
accumulate	蓄積する
refugee	難民
haunt	出没する
vampire	吸血鬼
dental	歯の
upgrade	アップグレードする
antenna	アンテナ
makeup	化粧
cruise	クルーズ
balcony	バルコニー
perch	止まり木
trait	特徴
superficial	表面的な
chuckle	くすくす笑う
monastery	修道院
collector	収集者
jerk	急に動く
muscular	筋肉質の
textile	織物
bitterly	激しく
formulate	策定する
morally	道徳的に
initiation	開始
kernel	核
globalization	グローバル化
brutal	残酷な
skeleton	骨格
rightly	正しく
chiefly	主に
antibody	抗体
transplant	移植
torch	たいまつ
mob	暴徒
avenue	大通り
linkage	連結
rhetorical	修辞的な
sanctuary	聖域
scroll	巻物
quantify	数量化する
cushion	クッション
mimic	まねる
elimination	除去
consciously	意識的に
pavement	舗装道路
heterogeneous	異質の
swarm	群れ
weaken	弱める
ambiguous	あいまいな
vanish	消える
penetration	浸透
educate	教育する
wrath	怒り
theft	盗み
downtown	市街地
supra	超
confrontation	対立
mutation	突然変異
obstruction	妨害
wireless	無線の
explode	爆発する
stray	はぐれる
contamination	汚染
migrant	移住者
erect	直立した
cite	引用する
prevalent	一般的な
visualize	視覚化する
recurrent	再発する
ambassador	大使
surround	囲む
